datetime,ts_code,open,high,low,close,pre_close,change,pct_chg,volume,amount
2018-05-02,000001.SZ,10.97,11.03,10.8,10.88,10.85,0.03,0.28,1190523.18,1295804.42
2018-05-03,000001.SZ,10.86,10.88,10.57,10.75,10.88,-0.13,-1.19,1281355.57,1372765.845
2018-05-04,000001.SZ,10.73,10.83,10.66,10.68,10.75,-0.07,-0.65,710509.52,761302.468
2018-05-07,000001.SZ,10.7,10.83,10.64,10.81,10.68,0.13,1.22,974309.67,1046743.101
2018-05-08,000001.SZ,10.83,11.15,10.8,11.01,10.81,0.2,1.85,1373305.68,1511546.681
2018-05-09,000001.SZ,10.98,11.03,10.88,10.97,11.01,-0.04,-0.36,627656.13,687036.874
2018-05-10,000001.SZ,11.03,11.09,10.91,11.01,10.97,0.04,0.36,552735.88,607349.997
2018-05-11,000001.SZ,11.04,11.13,10.96,11.01,11.01,0.0,0.0,772369.66,853271.166
2018-05-14,000001.SZ,11.09,11.23,11.03,11.18,11.01,0.17,1.54,1039297.16,1158064.201
2018-05-15,000001.SZ,11.18,11.19,11.02,11.12,11.18,-0.06,-0.54,669261.44,742590.447
2018-05-16,000001.SZ,11.07,11.07,10.89,10.9,11.12,-0.22,-1.98,714362.08,782694.669
2018-05-17,000001.SZ,10.91,10.94,10.78,10.82,10.9,-0.08,-0.73,586494.38,635675.44
2018-05-18,000001.SZ,10.81,10.97,10.76,10.96,10.82,0.14,1.29,578384.77,628250.184
2018-05-21,000001.SZ,11.07,11.11,10.93,10.95,10.96,-0.01,-0.09,763533.57,838750.577
2018-05-22,000001.SZ,10.95,10.98,10.79,10.86,10.95,-0.09,-0.82,589871.85,639815.249
2018-05-23,000001.SZ,10.82,10.82,10.62,10.65,10.86,-0.21,-1.93,991016.29,1058587.812
2018-05-24,000001.SZ,10.66,10.68,10.58,10.61,10.65,-0.04,-0.38,688152.02,730678.763
2018-05-25,000001.SZ,10.61,10.67,10.55,10.59,10.61,-0.02,-0.19,593335.67,629735.45
2018-05-28,000001.SZ,10.58,10.66,10.51,10.59,10.59,0.0,0.0,569400.92,602590.746
2018-05-29,000001.SZ,10.58,10.63,10.35,10.38,10.59,-0.21,-1.98,889494.97,930386.966
2018-05-30,000001.SZ,10.29,10.29,10.05,10.08,10.38,-0.3,-2.89,1124447.04,1139918.753
2018-05-31,000001.SZ,10.11,10.19,10.02,10.18,10.08,0.1,0.99,987360.38,999216.332
2018-06-01,000001.SZ,10.15,10.29,10.07,10.19,10.18,0.01,0.1,597211.16,608398.867
2018-06-04,000001.SZ,10.23,10.31,10.15,10.27,10.19,0.08,0.79,593038.35,608291.978
2018-06-05,000001.SZ,10.29,10.3,10.11,10.26,10.27,-0.01,-0.1,656540.75,670740.302
2018-06-06,000001.SZ,10.25,10.26,10.1,10.14,10.26,-0.12,-1.17,712743.41,724032.796
2018-06-07,000001.SZ,10.2,10.46,10.18,10.37,10.14,0.23,2.27,1262638.2,1306425.478
2018-06-08,000001.SZ,10.33,10.33,10.06,10.12,10.37,-0.25,-2.41,1099379.82,1114968.856
2018-06-11,000001.SZ,10.06,10.13,10.0,10.04,10.12,-0.08,-0.79,721374.98,724687.998
2018-06-12,000001.SZ,10.03,10.08,9.95,10.06,10.04,0.02,0.2,913300.72,914001.701
2018-06-13,000001.SZ,10.04,10.06,9.95,9.95,10.06,-0.11,-1.09,530584.31,530483.756
2018-06-14,000001.SZ,9.95,10.15,9.92,10.07,9.95,0.12,1.21,866392.01,872487.574
2018-06-15,000001.SZ,10.08,10.29,10.06,10.17,10.07,0.1,0.99,1248707.88,1273412.999
2018-06-19,000001.SZ,10.05,10.15,9.82,9.87,10.17,-0.3,-2.95,1565874.47,1565756.559
2018-06-20,000001.SZ,9.87,9.95,9.76,9.91,9.87,0.04,0.41,763637.31,752950.7
2018-06-21,000001.SZ,9.93,10.04,9.86,9.86,9.91,-0.05,-0.5,840070.77,836014.838
2018-06-22,000001.SZ,9.8,9.87,9.77,9.85,9.86,-0.01,-0.1,657818.51,645752.909
2018-06-25,000001.SZ,9.91,9.92,9.38,9.46,9.85,-0.39,-3.96,1195212.6,1154559.08
2018-06-26,000001.SZ,9.39,9.44,9.09,9.36,9.46,-0.1,-1.06,1124156.94,1042528.543
