datetime,volume,open,high,low,close,chg,percent,turnoverrate,amount
2017-08-07,86064427,10.5905,10.6959,10.4373,10.5331,-0.1626,-1.52,0.51,946975699.56
2017-08-08,68956744,10.5331,10.6384,10.4469,10.581,0.0474,0.45,0.41,758872028.53
2017-08-09,104232181,10.4948,10.5522,10.2267,10.2745,-0.3069,-2.9,0.62,1126512107.82
2017-08-10,95987996,10.2458,10.3607,10.0926,10.1692,-0.1058,-1.03,0.57,1026676005.5
2017-08-11,244064335,10.0352,10.0926,9.566,9.5947,-0.5746,-5.65,1.44,2501779371.25
2017-08-14,115766464,9.7,9.8149,9.6138,9.7862,0.1919,2.0,0.68,1175479138.54
2017-08-15,107516235,9.8053,10.0639,9.7766,9.8724,0.0861,0.88,0.64,1116749994.49
2017-08-16,75680602,9.8532,9.9298,9.7192,9.9011,0.0286,0.29,0.45,778517621.68
2017-08-17,55364211,9.9107,9.9777,9.8532,9.9777,0.0762,0.77,0.33,573093949.61
2017-08-18,61652041,9.9202,10.1501,9.8532,9.9969,0.019,0.19,0.36,643188717.21
2017-08-21,39915487,9.9873,10.0735,9.949,10.016,0.019,0.19,0.24,417653110.85
2017-08-22,87568181,10.0352,10.2075,9.9298,10.1979,0.1823,1.82,0.52,922881865.79
2017-08-23,131915190,10.1788,10.5139,10.1405,10.4373,0.2396,2.35,0.78,1430051908.04
2017-08-24,92424863,10.4277,10.6384,10.3799,10.4661,0.0292,0.28,0.55,1014933651.98
2017-08-25,96394000,10.4756,10.6959,10.4373,10.6384,0.1727,1.65,0.57,1068994547.06
2017-08-28,160393832,10.6288,11.0502,10.6288,10.8682,0.2298,2.16,0.95,1828380086.0
2017-08-29,135798373,10.8203,11.2417,10.8012,11.1746,0.3065,2.82,0.8,1569230034.16
2017-08-30,109667476,11.1842,11.2034,10.8682,10.9448,-0.2302,-2.06,0.65,1264128140.68
2017-08-31,115178646,10.9065,10.9544,10.6767,10.8012,-0.1434,-1.31,0.68,1297730595.72
2017-09-01,95997689,10.8012,10.9065,10.6767,10.7342,-0.067,-0.62,0.57,1080996319.27
2017-09-04,135232557,10.7054,11.2225,10.6959,11.2225,0.4884,4.55,0.8,1551875033.9
2017-09-05,128751876,11.1842,11.4332,11.1076,11.1459,-0.0763,-0.68,0.76,1513759541.19
2017-09-06,79162155,11.098,11.3757,10.9927,11.2034,0.058,0.52,0.47,925519043.82
2017-09-07,61418724,11.1555,11.2512,10.9065,10.9544,-0.2487,-2.22,0.36,711036421.43
2017-09-08,48127615,10.9736,11.1459,10.897,11.0023,0.0482,0.44,0.28,553644520.36
2017-09-11,69947275,11.0502,11.1938,10.8203,10.897,-0.1056,-0.96,0.41,801825014.63
2017-09-12,84618342,10.897,11.0502,10.7916,11.0502,0.1536,1.41,0.5,962032172.14
2017-09-13,66823742,11.0023,11.0502,10.8586,10.9448,-0.105,-0.95,0.4,765028184.64
2017-09-14,88308777,10.9448,11.098,10.7629,10.8395,-0.1051,-0.96,0.52,1005775578.24
2017-09-15,64609481,10.8108,10.8395,10.6767,10.8108,-0.0282,-0.26,0.38,726061100.45
2017-09-18,60761296,10.7725,10.8395,10.7246,10.7725,-0.0378,-0.35,0.36,684223023.19
2017-09-19,76421262,10.7725,10.8586,10.6097,10.6576,-0.1153,-1.07,0.45,853815999.65
2017-09-20,78715469,10.6671,10.8874,10.581,10.8108,0.1535,1.44,0.47,884640964.21
2017-09-21,69240793,10.782,11.0214,10.7246,10.9736,0.1632,1.51,0.41,788605300.87
2017-09-22,59392762,10.9448,11.031,10.8299,10.9544,-0.0187,-0.17,0.35,677622489.51
2017-09-25,53239104,10.9544,10.964,10.7054,10.8108,-0.1435,-1.31,0.31,602270302.75
2017-09-26,96746090,10.782,10.8203,10.4948,10.581,-0.2303,-2.13,0.57,1074228193.8
2017-09-27,72718820,10.5427,10.6097,10.4373,10.4661,-0.1153,-1.09,0.43,798377280.05
2017-09-28,51722002,10.5139,10.5139,10.3607,10.4182,-0.0481,-0.46,0.31,563485127.39
2017-09-29,68228010,10.4565,10.6863,10.399,10.6384,0.2198,2.11,0.4,753852534.72
2017-10-09,132522731,11.0789,11.1459,10.782,10.8203,0.1819,1.71,0.78,1520609511.57
2017-10-10,74792530,10.8491,11.0119,10.8491,10.9831,0.1623,1.5,0.44,853665849.11
